Auction ID,Bank/Organisation Name,City/District/Location,Auction Date,Reserve Price,Source
69052,Karnataka Bank,"Bidarahalli Hobli, Bangalore Urba, Karnataka",12/08/2025,"₹1,09,08,000",Albion
69071,Federal Bank,"Chennai, Tamil Nadu",12/08/2025,"₹1,40,00,000",Albion
69506,ICICI Bank,"Tiruvallur, Tamil Nadu",12/08/2025,"₹69,10,000",Albion
68510,Asset Reconstruction Company India Ltd,"Baruipur, Kolkata, West Bengal",12/08/2025,"₹3,80,800",Albion
68514,Asset Reconstruction Company India Ltd,"Chatterjee Road, Kolkata, West Bengal",12/08/2025,"₹14,72,000",Albion
68332,Central Bank of India,"Batala, Amritsar, Punjab",12/08/2025,"₹1,64,07,000",Albion
68585,State Bank of India,"Kakowal Road, Ludhiana, Punjab",12/08/2025,"₹6,05,00,000",Albion
68829,SMFG India Home Finance,"Chittorgarh, Rajasthan",12/08/2025,"₹4,60,000",Albion
68832,SMFG India Home Finance,"Udaipur, Rajasthan",12/08/2025,"₹82,90,000",Albion
68834,SMFG India Home Finance,"Bhilwara, Rajasthan",12/08/2025,"₹4,60,000",Albion
68838,SMFG India Home Finance,"Jodhpur, Rajasthan",12/08/2025,"₹4,40,000",Albion
68840,SMFG India Home Finance,"Jodhpur, Rajasthan",12/08/2025,"₹44,20,000",Albion
68843,SMFG India Home Finance,"Jaipur, Rajasthan",12/08/2025,"₹14,20,000",Albion
68847,SMFG India Home Finance,"Kota, Rajasthan",12/08/2025,"₹22,40,000",Albion
68904,IIFL Home Finance Limited,"Jaipur, Rajasthan",12/08/2025,"₹5,98,000",Albion
68970,Canara Bank,"Ranchi, Jharkhand",12/08/2025,"₹11,00,000",Albion
68982,Canfin,"Vishweshwaraiah Layout, Bangalore Urba, Karnataka",12/08/2025,"₹1,58,20,000",Albion
24832,TMB Bank,"Chennai, Tamil Nadu",12/08/2025,"₹4,59,00,000",Albion
45766,Canara Bank,"Salem, Tamil Nadu",12/08/2025,"₹74,46,000",Albion
64794,Au small finance bank,"Ramganjmandi, Kota, Rajasthan",12/08/2025,"₹12,80,000",Albion
64789,Au small finance bank,"Bhinder, Udaipur, Rajasthan",12/08/2025,"₹8,00,000",Albion
64780,Au small finance bank,"SIKRAI, Dausa, Rajasthan",12/08/2025,"₹34,00,000",Albion
64770,Au small finance bank,"RAJGARH, Churu, Rajasthan",12/08/2025,"₹10,50,000",Albion
64769,Au small finance bank,"Udaipurwati, Jhunjhunu, Rajasthan",12/08/2025,"₹5,65,000",Albion
64767,Au small finance bank,"Bandikui, Dausa, Rajasthan",12/08/2025,"₹51,65,000",Albion
64765,Au small finance bank,"Tibbi, Hanumangarh, Rajasthan",12/08/2025,"₹16,00,000",Albion
64726,Au small finance bank,"Tibbi, Hanumangarh, Rajasthan",12/08/2025,"₹16,00,000",Albion
64679,Au small finance bank,"Ahmedabad, Gujarat",12/08/2025,"₹9,50,000",Albion
64922,Au small finance bank,"DARJIYO KE GALI, Dausa, Rajasthan",12/08/2025,"₹34,00,000",Albion
64923,Au small finance bank,"Udpura, Kota, Rajasthan",12/08/2025,"₹12,80,000",Albion
64927,Au small finance bank,"Bandikui, Dausa, Rajasthan",12/08/2025,"₹51,65,000",Albion
64930,Au small finance bank,"Bhinder, Udaipur, Rajasthan",12/08/2025,"₹8,00,000",Albion
